phase,benchmark,dataset,system,metric,cutoff,value,sample_size,source_file,artifact_path,claim_strength,notes
retrieval,B3.2,HSBCNaturalMultimodal-v1,V0 CLIP,Recall@10,10,0.075,80,reports/b3-2-benchmark-integrity-public-closure.md,artifacts/b3_2_runs/,PROJECT_CREATED_NATURAL,CPU OpenAI CLIP RN50
retrieval,B3.2,HSBCNaturalMultimodal-v1,M1 Conditional,Recall@10,10,0.5625,80,reports/b3-2-benchmark-integrity-public-closure.md,artifacts/b3_2_runs/,PROJECT_CREATED_NATURAL,
retrieval,B3.2,HSBCVisualStress-v1,T0 Text Only,Recall@10,10,0,60,reports/b3-2-benchmark-integrity-public-closure.md,artifacts/b3_2_runs/,PROJECT_CREATED_STRESS,construction-biased stress workload
retrieval,B3.2,HSBCVisualStress-v1,T1 Parsed Page Text,Recall@10,10,0.0333,60,reports/b3-2-benchmark-integrity-public-closure.md,artifacts/b3_2_runs/,PROJECT_CREATED_STRESS,
retrieval,B3.2,HSBCVisualStress-v1,V0 CLIP,Recall@10,10,0.1,60,reports/b3-2-benchmark-integrity-public-closure.md,artifacts/b3_2_runs/,PROJECT_CREATED_STRESS,
retrieval,B3.2,HSBCVisualStress-v1,M0/M1,Recall@10,10,0.05,60,reports/b3-2-benchmark-integrity-public-closure.md,artifacts/b3_2_runs/,PROJECT_CREATED_STRESS,fusion/conditional did not beat visual-only
retrieval,B4.1,HSBCVisualStress-v1 table slice,T2 TableIR executor,Recall@1,1,0.0167,60,reports/b4-1-real-financial-table-recovery.md,artifacts/b4_1_runs/20260914T013551/,PROJECT_CREATED_STRESS,all-60 workload; table-category recovery is separately reported as 5/24
retrieval,B4.1,HSBCVisualStress-v1 table slice,T2 TableIR executor,Recall@5,5,0.0833,60,reports/b4-1-real-financial-table-recovery.md,artifacts/b4_1_runs/20260914T013551/,PROJECT_CREATED_STRESS,
retrieval,B4.1,HSBCVisualStress-v1 table slice,T2 TableIR executor,Recall@10,10,0.0833,60,reports/b4-1-real-financial-table-recovery.md,artifacts/b4_1_runs/20260914T013551/,PROJECT_CREATED_STRESS,
retrieval,B4.1,HSBCVisualStress-v1 table slice,T2 TableIR executor,Recall@50,50,,60,reports/b4-1-real-financial-table-recovery.md,artifacts/b4_1_runs/20260914T013551/,PROJECT_CREATED_STRESS,MISSING in table report
retrieval,B4.1,HSBCVisualStress-v1 table slice,T2 TableIR executor,MRR,,0.0381,60,reports/b4-1-real-financial-table-recovery.md,artifacts/b4_1_runs/20260914T013551/,PROJECT_CREATED_STRESS,
retrieval,B4.1,HSBCVisualStress-v1 table slice,T2 TableIR executor,nDCG@10,10,0.0491,60,reports/b4-1-real-financial-table-recovery.md,artifacts/b4_1_runs/20260914T013551/,PROJECT_CREATED_STRESS,
