rag_stage,capability,status,dataset,sample_size,metrics,current_result,evidence_source,claim_strength,gap
召回,RealFinance Hybrid,IMPLEMENTED,RealFinance-v1,100,R@5/CER,R@5 0.1417; CER 0.0500,reports/p0-d-real-finance-validation.md,PUBLIC_BENCHMARK,fixed 50/50 slice
召回,HSBC natural hard-negative facet ranking,IMPLEMENTED,HSBCNaturalHard-v1,59,R@5/HN Error/Top1,0.9661 / 0.0339 / 0.6441,reports/p0-h-gold-requirement-hsbc-natural-hardcases.md,PROJECT_CREATED_NATURAL,deterministic; not neural
召回,HSBC NaturalMultimodal,IMPLEMENTED,HSBCNaturalMultimodal-v1,80,T0/T1/V0/M1 R@10,0.5375 / 0.5875 / 0.0750 / 0.5625,reports/b3-2-benchmark-integrity-public-closure.md,PROJECT_CREATED_NATURAL,visual narrow fallback
召回,HSBC VisualStress,PARTIAL,HSBCVisualStress-v1,60,T0/T1/V0/M0/M1 R@10,0 / 0.0333 / 0.1000 / 0.0500 / 0.0500,reports/b3-2-benchmark-integrity-public-closure.md,PROJECT_CREATED_STRESS,construction bias
排序,Financial facet-aware deterministic scoring,IMPLEMENTED,FinanceHardSet/HSBCNaturalHard,100 / 59,HN Error,0.0000 controlled; 0.0339 natural,reports/p0-h-gold-requirement-hsbc-natural-hardcases.md,PROJECT_CREATED_NATURAL,not neural reranker
排序,Neural reranker,NOT_IMPLEMENTED,Financial corpus,N/A,neural reranker quality,N/A,audit of src/finevidence/ranking,N/A,
失败恢复、补检、表格与多模态升级,Gold-fact targeted retrieval,IMPLEMENTED,RealFinance-v1,100,Initial/Final CER,0.0300 → 0.8900; recovery 0.8866,reports/p0-d-real-finance-validation.md,PUBLIC_BENCHMARK,gold facts known
失败恢复、补检、表格与多模态升级,Failure-aware routing,PARTIAL,HSBCVisualStress-v1,60,route accuracy/critical recovery,0.5000 / 0.0833,reports/b4-structure-preserving-evidence-ir-failure-aware-escalation.md,PROJECT_CREATED_STRESS,heuristic route; table capability gap
失败恢复、补检、表格与多模态升级,Conditional multimodal,PARTIAL,HSBCMultimodalRouting-v1,30,precision/recall/invocation,0.4348 / 1.0000 / 0.7667,reports/b3-1-public-benchmark-evaluation-closure.md,PROJECT_CREATED_STRESS,not proven cost saving
证据校验与回答资格,Independent Coverage,IMPLEMENTED,P0-G RealFinance-v1,100,raw/independent/critical/reuse,1.0000 / 0.7283 / 0.7400 / 0.4100,reports/p0-g-evidence-requirement-graph.md,PUBLIC_BENCHMARK,safety finding
证据校验与回答资格,Eligibility gate,IMPLEMENTED,RealFinance-v1/P0-G,100,FAER/eligible,FAER 0.1200 Top-K; 0.0000 gate; D4 eligible 0.3800,reports/p0-d-real-finance-validation.md;reports/p0-g-evidence-requirement-graph.md,OBSERVED,not answer accuracy
生成、引用与最终回答,Backend v1 API contract,IMPLEMENTED,Local Evidence Backend v1,6 routes,contract/smoke,implemented and local smoke-tested,docs/FIN_EVIDENCE_API_SPEC.md;docs/FIN_EVIDENCE_V1_RELEASE.md,OBSERVED,not production SLA or answer quality
生成、引用与最终回答,Answer/citation/abstention quality,NOT_IMPLEMENTED,Financial QA,N/A,answer/citation/abstention metrics,MISSING,audit of reports/artifacts,N/A,claim-level gold absent
生成、引用与最终回答,Production-scale serving,NOT_IMPLEMENTED,Production corpus,N/A,throughput/SLA/HA/cost,MISSING,docs/FIN_EVIDENCE_V1_RELEASE.md,N/A,in-memory CPU reference
